Article,Article Description,PLU,Min Weight(g),Max Weight(g),Target Weight(g),Sub PLU 1,Sub PLU 2,Sub PLU 3
45486,Asian Vegetable Mix Large 1X1KG,8066,0.32,0.4,0.36,8402,-,-
493069,Asparagus Griller 1X1KG,82114,0.27,0.33,0.3,-,-,-
493068,BBQ Saute Deluxe Vegetable 1X1KG,82113,0.432,0.528,0.48,-,-,-
478427,Beets Red Cubes 1X1KG,82036,0.5,0.61,0.55,-,-,-
45444,Bell Pepper Mix Large 1X1KG,8093,0.25,0.45,0.35,-,-,-
338318,BLT Salad w/ Cheddar Small 1X1KG,35229,0.33,0.41,0.37,35273,-,-
162442,Broccoli/Cauliflower Mix Large 1X1KG,8968,0.32,0.39,0.35,4566,-,-
478432,Broccoli/Cauliflower/Carrot 1X1KG,82038,0.405,0.495,0.45,-,-,-
689982,Caesar Salad 1X1KG,32611,0.13,0.15,0.14,35233,-,-
338325,Caesar Salad w/ Parmesan Large 1X1KG,35232,0.48,0.63,0.57,8433,-,-
338326,Caesar Salad w/ Parmesan Small 1X1KG,35233,0.18,0.3,0.23,35269,-,-
139647,Cantaloupe Chunks 1X1KG,8002,0.32,0.39,0.35,20327,-,-
151746,Cantaloupe Chunks Med 1X1KG,8406,0.4,0.6,0.5,-,-,-
651096,Cantaloupe Melon Sliced 1X1KG,20327,0.45,0.55,0.5,8002,-,-
139675,Carrot and Celery Sticks 1X1KG,8557,0.29,0.35,0.32,8405,-,-
149645,Carrot and Celery Sticks Large 1X1KG,8405,0.46,0.56,0.51,8557,-,-
859140,Carrots Herb Garlic 1X1KG,54811,0.35,0.43,0.39,-,-,-
149605,Cauliflower Florettes 1X1KG,4566,0.34,0.42,0.38,-,-,-
149602,Celery Sticks 1X1KG,4576,0.18,0.22,0.2,-,-,-
131407,Chickn Caesar Salad w/Parmsn Large 1X1KG,8433,0.58,0.7,0.64,35232,-,-
338380,Chickn Caesar Salad w/Parmsn Small 1X1KG,35269,0.22,0.35,0.28,35233,-,-
699005,Cmsry Bell Pepper Mix Large 1X1KG,21204,0.48,0.58,0.53,-,-,-
699042,Cmsry Fruit Salad Mixed Large 1X1KG,21872,0.57,0.69,0.63,-,-,-
394725,Cobb Salad 1X1KG,46094,0.3,0.5,0.39,-,-,-
162436,Fruit Salad Mixed Large 1X1KG,8529,0.3,0.44,0.37,-,-,-
162435,Fruit Salad Mixed Med 1X1KG,8964,0.25,0.4,0.32,-,-,-
689980,Garden Salad 1X1KG,32605,0.18,0.22,0.2,32611,-,-
338340,Garden Salad Small 1X1KG,35240,0.3,0.5,0.39,-,-,-
338345,Greek Salad w/ Feta Large 1X1KG,35243,0.78,0.96,0.87,35244,-,-
338346,Greek Salad w/ Feta Small 1X1KG,35244,0.3,0.5,0.4,35243,-,-
807951,Guacamole Dip 1X1KG,22193,0.33,0.41,0.37,-,-,-
151743,Honeydew Chunks Med 1X1KG,8409,0.4,0.6,0.5,-,-,-
498123,Kale Salad w/Pumpkin &Pepita Seeds 1X1KG,57009,0.23,0.29,0.26,4621,-,-
338389,Mandarin Chicken Salad Small 1X1KG,35273,0.32,0.4,0.36,35229,-,-
807949,Mango Salsa 1X1KG,22184,0.24,0.3,0.27,-,-,-
282927,Melon Strawberry Salad Small 1X1KG,54633,0.25,0.31,0.28,-,-,-
162473,Mixed Berries Medium 1X1KG,8510,0.24,0.4,0.32,-,-,-
149649,Mixed Melon Chunks Large 1X1KG,8530,0.7,1,0.9,-,-,-
162437,Mixed Melon Chunks Small 1X1KG,8574,0.28,0.34,0.31,-,-,-
154397,Mixed Melon Chunks Small 1X1KG,8581,0.32,0.39,0.35,8574,8530,-
142551,Mixed Melon Heaven 1X1KG,8404,0.3,0.5,0.38,-,-,-
149647,Mixed Melon Heaven Large 1X1KG,8531,0.55,0.67,0.61,-,-,-
162501,Mixed Veggie Sticks Large 1X1KG,8974,0.39,0.47,0.43,8554,-,-
149570,Mixed Veggie Sticks With Dip Large 1X1KG,8554,0.41,0.5,0.45,8974,-,-
130262,Omelette/Pizza Mix 1X1KG,8055,0.351,0.429,0.39,-,-,-
149643,Omelette/Pizza Mix large 1X1KG,8400,0.39,0.47,0.43,-,-,-
162457,Papaya Chunks Small 1X1KG,8503,0.25,0.31,0.28,-,-,-
282458,Pineapple & Strawberry Large 1X1KG,54593,0.5,0.55,0.53,-,-,-
282464,Pineapple Berry Salad Small 1X1KG,54595,0.24,0.4,0.32,-,-,-
151745,Pineapple Chunks Med 1X1KG,8399,0.29,0.35,0.32,-,-,-
859821,Potat Onion and Pep w/Herb Garlic 1X1KG,88337,0.45,0.55,0.5,-,-,-
162441,Red S/Lss Watermelon Chunks Large 1X1KG,8407,0.8,1,0.9,-,-,-
162438,Red Seedless Watermelon Chunks Med 1X1KG,8401,0.3,0.6,0.5,-,-,-
