Article,PLU,Description
391919,10402,Cinn Buns Gourmet w/CrmChs 2Pk 1X375G
391922,10403,Cinnamon Buns Gourmet 2Pk 1X345G
262146,14586,Cinn Buns Gourmet w/CrmChs 4Pk 1X750G
374676,79908,Cinnamon Buns Gourmet 4Pk 1X690G
985371,71701,Cinnamon Buns w/Drizzle Icing 4Pk 1X535G. 
985377,34023,Cinnamon Buns w/Crm Chs Icing 4Pk 1X535G
987997,71786,Cookie Choc Chip 12pk 1x370g
988010,71787,Cookie Monster 12pk  1x370g
988034,71789,Cookie Oatmeal Raisin 12pk 1x370g
988055,71793,Cookie White Choc Mac 12pk 1x370g
988062,71794,Cookie Butter Toffee 12pk 1x370g
988063,71795,Cookie Peanut Butter 12pk 1x370g
310988,49937,Cookie Bttr Toffee Crunch 12Pk 1X450G 
1002528,67809,Cookie Choc Chip Cookies 12Pk 1X450G 
1002525,67806,Cookie Monster Cookies 12Pk 1X450G   
691544,12416,Cookie Oatmeal Choc Chip 12PK 1X450G
1002536,79753,Cookie Oatmeal Raisin 12PK 1X450G       
1002527,79751,Cookies Peanut Butter 12Pk 1X450G  
908880,22225,Cookies White Choc Mac Nut 12Pk 1X450G
1000223,27972,Date Turnover Cookies 6Pk 1X380G
265675,14619,Cookies All Butter Wht Chc Cran Shrtbrd 8Pk 1X250g
978407,8824,Cookies All Butter Shrtbrd 8Pk 1X250g
988065,71796,Cookie Shortbread 12Pk 1X370G
231628,98791,Cookie Shortbread Choc Driz 12Pk 1x385g 
231637,98792,Cookie Shortbread Sprinkle 12Pk 1x385g
908858,22198,Cookies Ginger Molasses 12Pk 1X370G
1000643,17990,Meringue Cookies 12Pk 1X135G
355938,68919,Croissants 100% Butter 4Pk 1X275G
355940,68920,Croissants 100% Butter Choc 4Pk 1X275G
424594,41936,Croissants 6Pk 1X372G
990939,71854,Cruffy Raspberry 4pk 1x280g
990941,71852,Cruffy Dulce De Leche 4pk 1x280g
978152,56695,Croissants Mini 8 pack  1x250g
630643,22779,Croissants Mini Cheese 8Pk 1X260G
978189,88779,Croissants KitKat 4Pk 1X335G
500516,67962,Brioche 100% Butter Raisin 4Pk 1X400G
500538,39920,Brioche 100% Butter Chocolate 4Pk 1X400G
500494,16787,Crsnts 100% Butter GrkYgChry 4Pk 1X320G
358034,68499,Mini Danish 6Pk 1X250G
967964,89092,Danish 100% Butter Kit Kat 4Pk 1X450G. 
471381,22893,Danish 100% Butter Variety 4Pk 1X420G
478302,52836,Danish 100% Butter Lemon Chs 4Pk 1X420G
469903,22838,Danish 100% Butter Blbry Chse 4Pk 1X420G
469913,22840,Danish 100% Butter RspbryChse 4Pk 1X420G
469914,22841,Danish 100% Butter StrbryChse 4Pk 1X420G
469891,22837,Danish 100% Butter Apl chse 4Pk 1X420G
471378,22891,Danish 100% Butter Pmpkn Chs 4Pk 1X410G
978406,71743,Danish Kringle Almond 1X440G
141417,47693,Buns Hot Cross 8Pk 1X400G
540308,69747,Hot Cross Buns 8PK 1X450G (pre-mix)
580969,58783,Buns Hot Cross Orng Cranberry 8PK 1X400G
978178,71540,Sweet Buns Apple  4pk 1x400g
978188,88882,Sweet Buns Cherry  4pk 1x400g
983807,24238,Strudel Mini Apple 4pk 1x280g
983811,24566,Strudel Mini Cherry 4pk 1x280g
983820,71661,Strudel Mini Raspberry 4pk 1x280g
983815,71660,Strudel Mini Blueberry 4pk 1x280g
537280,57848,Grandma O/F Ban Loaf 1X590G
935675,48444,OrigCake Buttertart Bar 8pk 1X470G
935680,48446,OrigCake Deep Dtch Brwnie 8pk 1X470G
935678,48445,OrigCake Macaroon Madness 8pk 1X470G
935475,21263,OrigCake Nanaimo Bars 8Pk 1X450G
935681,48447,OrigCake Varty Pk Dessert Bar 8pk 1X465G
832605,72768,Tarts Butter w/ Raisins 6Pk 1X270G
832606,46527,Tarts Almond w/ Rspbry Apple 6Pk 1X400G
832670,43660,Pumpkin Tarts 330G 1X6Pk
613280,47911,Tarts Pumpkin Gourmet 6Pk 1X360G
832604,67165,Tarts Mince 6Pk 1X360G
957794,40629,Tarts Apple Filled 6Pk 1X320G
281847,54211,Tea Biscuits Cheese 6Pk 1X300G
271888,23970,Tea Biscuits Plain 6Pk 1X300G
355375,68901,Trad British Scone Cheese 4Pk 1X400G
355366,68898,Trad British Scone Blueberry 4pk 1X400G
355365,68897,Trad British Scone Raisin 4pk 1X400G
986498,72652,Scones Raisin All Butter 4Pk 1X340G
986771 ,71723,Scones Cheddar Cheese AllBtr 4Pk 1X340G
986486,72644,Scones Cinnamon All Butter 4Pk 1X340G
986504,72671,Scones Blueberry All Butter 4Pk 1X340G
