Article,PLU,Description,Min Weight,Max Weight,Target Weight,Sub Article
492809,45443,Cambozol Cheese Imported 1X2.2KG,0.13,0.17,0.15,N/A
423960,45748,Comp Blackforest Ham FS 2X4KG,0.20,0.28,0.23,N/A
268753,85542,Comp Bologna 4X1.8KG,0.22,0.27,0.25,N/A
732748,16021,Comp Brie Cheese Double Cream 1X3KG,0.19,0.23,0.21,N/A
485982,45419,Comp Cheese Asiago 16X250G,0.23,0.28,0.25,490099
633742,45516,Comp Cheese Provolone 2X2.8KG,0.14,0.17,0.15,N/A
206407,13938,Comp Ham Black Forest 2X4KG,0.25,0.33,0.29,N/A
641868,67283,Comp Honey Ham 2X4KG,0.20,0.30,0.25,N/A
660001,63563,Comp Honey Ham Pkg 1X1KG,0.22,0.26,0.24,N/A
628459,63407,Comp Montreal Smoked Meat 3X2.5KG,0.20,0.25,0.23,N/A
628457,31904,Comp Roast Beef Round 3X2.5KG,0.20,0.28,0.24,N/A
385572,35543,CowsCrea Ched Smokd Appltree 18X250G,0.23,0.28,0.25,689801
947896,21437,Emma Chees Grana Padano Wedge RW 25X200G,0.18,0.22,0.25,949015
947897,21438,Emma Chees Romano Pecorino RW 25X200G,0.18,0.22,0.25,949015
475574,17597,Emma Chs Shreds Parmgno Regno 24Mo 1X1KG,0.07,0.15,0.10,949015
461863,16053,Emma Parmigiano Reggiano 24 Mth 1X8KG,0.19,0.25,0.22,N/A
134025,26176,Frico Dutch Smkd Gouda Prcssd 2X2.7KG,0.14,0.18,0.16,N/A
654193,58829,Ilchestr Chs Chddr Applwd Smkd 2X3KG,0.15,0.21,0.18,N/A
901557,25290,IleDeFrn Cheese Brie Dbl Crm 1X3KG,0.16,0.22,0.19,N/A
872139,26752,Lyona Sausage 2X1.71KG,0.18,0.24,0.21,N/A
566832,28666,Panache Wdg Parmigiano Reggiano 25X200G,0.18,0.22,0.25,949015
766659,20625,Schneidr Half Ham Old Fashioned 4X2.4KG,0.20,0.25,0.22,N/A
640994,23123,Sensatns Trky Slc Oven Rst Pepcorn 4X2KG,0.21,0.26,0.24,N/A
642231,20229,Sensatns Turkey Oven Roasted 4X2KG,0.12,0.32,0.22,N/A
642240,20234,Sensatns Turkey Rstd SundrdTom&Bsl 4X2KG,0.21,0.25,0.23,N/A
453086,26053,Swtzrlnd Cheese Swiss Gruyere 1X2.5KG,0.15,0.19,0.17,N/A
563494,26165,ValeCame Chs Farmhouse Cheddar 12X1KG,0.29,0.35,0.32,N/A
