Shipment,Order,Product,Description,Barcodes,Regime,Status,Container,Container location,Pick location,Ordered Qty,Picked Qty,Subst Sku,Subst Desc,Subst Qty
17:00 - 00149264,1069024244319,518701EA,SilvrHll Bread Squirrelly 8X600G 600g,055991040450,Freezer,NotAssigned,'-,'-,65-L-00-00-Frozen Meal Makers,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,494079EA,CompOrg Mixed Vegetables Blend 12X500G 500g,055742505580,Freezer,NotAssigned,'-,'-,21-L-01-00-Frozen Meal Makers,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,317520EA,GrnGiant VS Asian Blend 12X400G 400g,190569430926,Freezer,NotAssigned,'-,'-,02-R-05-00-Frozen Meal Makers,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,329665EA,Comp Lasagna w Chicken 12X1KG 1kg,055742528138,Freezer,NotAssigned,'-,'-,70-L-00-00-Frozen Meat,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,253214EA,Comp Tortilla 7in W/Grn Wht Flour 1X340G 340g,068820120568,Ambient,NotAssigned,'-,'-,65-L-00-00-Commercial Bakery Breads and Rolls,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,129818EA,Cucumbers English Organic 12X1EA 1 Item,"6278432213570, 771961010024, 064391130470, 689259945937, 294593000008, 723709084026, 885773046079, 751666158009, 824660201009, 066022000824, 741243234523, 824935000085, 057836945937, 082493500083",Ambient,NotAssigned,'-,'-,60-L-00-00-Fresh Vegetables,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,454504KG,Comp Chicken Breast Roast Smoked 4X2.5KG 0.255kg,229533000008,Ambient,NotAssigned,'-,'-,90-C-00-00-Deli Meat Service,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,213938EA,Quaker Cereal Oat Squares 12X500G 500g,055577105665,Ambient,NotAssigned,'-,'-,07-L-04-00-Ambient Breakfast,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,641172EA,Smrtfood Dlght Popcorn RTE S/Slt 10X156G 156g,060410028803,Ambient,NotAssigned,'-,'-,11-L-06-00-Snacking,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,644913EA,Kashi Bar Chwy Honey Almond Flax 12X175G 35g,018627104810,Ambient,NotAssigned,'-,'-,07-R-02-00-Snacking,2,0,'-,'-,'-
17:00 - 00149264,1069024244319,144769KG,Red Cluster Tomatoes on the Vine 1X5KG 0.418kg,"057836046641, 027044000025, 204664000004, 6280150466480, 699058046643",Ambient,NotAssigned,'-,'-,90-C-00-00-Fresh Vegetables,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,656616EA,Comp English Muffins Whole Wheat 1X342G 342g,068820135760,Ambient,NotAssigned,'-,'-,65-L-00-00-Commercial Bakery Breads and Rolls,2,0,'-,'-,'-
17:00 - 00149264,1069024244319,7625EA,Avocados Hass Large West 20X1EA 1 Item,204225000009,Chill,NotAssigned,'-,'-,60-L-00-00-Fresh Fruit,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,480777EA,Silk Creamer Almond Vanilla 12X473ML 473ml,025293002630,Chill,NotAssigned,'-,'-,20-L-01-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,512038EA,Liberte Kefir Plain 6X1L 1l,065684116157,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,121560EA,Astro BioB Yogurt Lctse Rducd Pln 6X750G 750g,068200347448,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,681286EA,Panache Soup Hmestye Chckn Ndl 12X625ML 625ml,623682125344,Chill,NotAssigned,'-,'-,80-L-00-00-Soup,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,480779EA,Silk Cashew Unsweetened 6X1.89L 1.890l,025293002982,Chill,NotAssigned,'-,'-,20-L-01-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,174757EA,Astro Yogurt Peach F/B S/B B/Bry 4X1200G 100g,068200315911,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,486092EA,Comp Cheese Feta 12X200G 200g,068820130161,Chill,NotAssigned,'-,'-,80-L-00-00-Deli Cheese Pre-Pack,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,595288EA,Silk Half&Half DairyFr Cnut&Oat 12X890ML 890ml,036632075918,Chill,NotAssigned,'-,'-,20-L-01-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,245788EA,Silk True Almond Beverage 6X1.89L 1.890l,025293001008,Chill,NotAssigned,'-,'-,20-L-01-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,407787EA,Comp Muffins Variety Pack 12X600G 600g,068820134497,Chill,NotAssigned,'-,'-,65-L-00-00-Instore Bakery Swt Treats,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,646242EA,EatSmart Salad Southwest  6X283G 283g,709351301650,Chill,NotAssigned,'-,'-,60-L-00-00-Value Added Prod,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,862764EA,Astro Yogurt Plain 2% 6X750G 750g,057825750023,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,626651EA,Comp Cheese Slices Medium Ched 6X230G 230g,055742541847,Chill,NotAssigned,'-,'-,13-R-09-00-Dairy,1,0,'-,'-,'-
17:00 - 00149264,1069024244319,172073EA,Apples Ambrosia 12X1.36KG 1.360kg,"691529076340, 847473000355, 033383465043, 062773501559, 066236487121, 852906001083, 628451114253, 882386001068, 068206465047, 033383003962",Chill,NotAssigned,'-,'-,60-L-00-00-Fresh Fruit,1,0,'-,'-,'-
